%=========================================%
%-->    Lab: Two RLC Resonant Circuits <--%
%--> Author: Charles Edward Pax        <--%
%-->   Date: 2006.02.07                <--%
%=========================================%
%
%
% L (H)	R (Ohm)	C (F)		f (Hz)	V_out (V)
%======	=======	=========	======	=========
0.001	981	0.0000001	101	1.6
0.001	981	0.0000001	999	1.6
0.001	981	0.0000001	1017	1.6
0.001	981	0.0000001	15200	1.55
0.001   981     0.0000001       17000	1.475
0.001   981     0.0000001       20500	0.9
0.001   981     0.0000001       22700	1.225
0.001   981     0.0000001       23500	1.35
0.001   981     0.0000001       25900	1.5
0.001   981     0.0000001       26600	1.55
0.001   981     0.0000001       50800	1.625
0.001	981	0.0000001	100800	1.64
0.001	981	0.0000001	1012200	1.65
%
0.001   100     0.0000001       104	1.05
0.001   100     0.0000001       1002	1.05
0.001   100     0.0000001       10070	0.9
0.001   100     0.0000001       15100	0.65
0.001   100     0.0000001       20600	0.2
0.001   100     0.0000001       26000	0.55
0.001   100     0.0000001       50900	1.05
0.001   100     0.0000001       100200	1.1
0.001   100     0.0000001       997800	1.15
% Part B
0.001   100     0.0000001       10200	0.74
